TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZFP69B	AB007962	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZFP69B	ACOT7	0.26378	31	0	rgb(217,217,217)	1.6001	None
ZFP69B	ANKRD36	0.65353	47.51	0.512	rgb(223,119,120)	1.9304	2,2
ZFP69B	ANXA6	0.91553	50.64	0.642	rgb(224, 94, 96)	1.993	None
ZFP69B	APBB1	0.62867	46.37	0.372	rgb(221,146,147)	1.9076	None
ZFP69B	APOA1	0.15832	24	0	rgb(217,217,217)	1.4601	None
ZFP69B	ASXL3	0.66811	47.72	0.724	rgb(225, 79, 80)	1.9346	2,2
ZFP69B	AVPR1B	-0.81908	50.4	-0.4	rgb(131,165,232)	1.9882	None
ZFP69B	AX746764	0.3796	37.51	0.505	rgb(223,120,121)	1.7303	2,2
ZFP69B	BEGAIN	-0.53928	44.3	-0.3	rgb(152,178,228)	1.8662	None
ZFP69B	BHMT	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZFP69B	C11orf92	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ZFP69B	C14orf132	0.96943	50.78	0.784	rgb(226, 67, 69)	1.9958	None
ZFP69B	C1RL-AS1	0.70892	48.61	0.606	rgb(224,101,102)	1.9524	None
ZFP69B	CABP7	0.1881	26	0	rgb(217,217,217)	1.5001	None
ZFP69B	CEP290	0.76258	49.58	0.583	rgb(223,106,107)	1.9718	None
ZFP69B	CES1	-0.39698	38.34	-0.34	rgb(143,172,230)	1.7469	2,2
ZFP69B	CHST8	0.72949	49.1	0.1	rgb(218,198,198)	1.9622	None
ZFP69B	DDC	0.23296	29	0	rgb(217,217,217)	1.5601	None
ZFP69B	DKFZp779K0112	0.43131	40.17	0.17	rgb(219,185,185)	1.7836	2,2
ZFP69B	DNLZ	-0.93656	50.69	-0.69	rgb( 66,125,243)	1.994	None
ZFP69B	DQ573539	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZFP69B	DSCAML1	0.62338	46.28	0.278	rgb(220,164,165)	1.9058	None
ZFP69B	EIF4EBP1	-0.96943	50.78	-0.78	rgb( 47,114,247)	1.9958	None
ZFP69B	EPHA4	0.87641	50.56	0.564	rgb(223,109,110)	1.9914	None
ZFP69B	FAM110B	0.13825	22	0	rgb(217,217,217)	1.4201	None
ZFP69B	FAM153A	0.81908	50.4	0.398	rgb(221,141,142)	1.9882	2,2
ZFP69B	FAXC	0.18104	25	0	rgb(217,217,217)	1.4801	None
ZFP69B	GAST	-0.52297	43.52	-0.52	rgb(105,149,237)	1.8506	2,2
ZFP69B	GOLGA8B	0.9482	50.72	0.719	rgb(225, 80, 81)	1.9946	None
ZFP69B	GPC6	-0.59071	46.13	-0.13	rgb(188,200,222)	1.9028	None
ZFP69B	HBT8	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ZFP69B	HES6	0.37187	37.27	0.275	rgb(220,165,165)	1.7255	None
ZFP69B	ISLR2	-0.93656	50.69	-0.69	rgb( 67,126,243)	1.994	None
ZFP69B	JAKMIP1	-0.69314	48.43	-0.43	rgb(124,161,233)	1.9488	None
ZFP69B	KCNH2	0.74886	49.48	0.697	rgb(225, 84, 85)	1.9698	None
ZFP69B	KIAA0845	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZFP69B	KTN1-AS1	0.076869	18	0	rgb(217,217,217)	1.3401	None
ZFP69B	LEFTY1	0.052045	17	0	rgb(217,217,217)	1.3201	None
ZFP69B	LIMS2	-0.47398	42.04	-0.035	rgb(209,212,218)	1.821	None
ZFP69B	LINC00261	0.60896	46.44	0.442	rgb(222,133,134)	1.909	None
ZFP69B	LOC100862671	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
ZFP69B	LOC642776	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ZFP69B	LRP2BP	0.5753	45.4	0.4	rgb(221,141,141)	1.8882	None
ZFP69B	MINOS1-NBL1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
ZFP69B	NOVA2	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZFP69B	NTS	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ZFP69B	NXPE1	0.79314	50.21	0.446	rgb(222,132,133)	1.9844	None
ZFP69B	PAK6	0.47427	42.05	0.049	rgb(218,208,208)	1.8212	None
ZFP69B	PARD6A	0.35535	36.3	0.304	rgb(220,159,160)	1.7061	None
ZFP69B	PCYT1B	0.71574	48.76	0.756	rgb(225, 73, 74)	1.9554	2,2
ZFP69B	PDGFD	-0.729	49.31	-0.31	rgb(149,176,229)	1.9664	None
ZFP69B	PMS2L14	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ZFP69B	PNMAL1	0.58269	45.53	0.525	rgb(223,117,118)	1.8908	2,2
ZFP69B	RAB4B-EGLN2	0.23961	28	0	rgb(217,217,217)	1.5401	None
ZFP69B	RASD1	0.60012	46.31	0.307	rgb(220,158,159)	1.9064	None
ZFP69B	RGS16	-0.40814	38.04	-0.037	rgb(209,212,218)	1.7409	None
ZFP69B	RGS4	-0.69434	48.44	-0.44	rgb(121,159,234)	1.949	None
ZFP69B	S100A1	-0.65564	47.53	-0.53	rgb(103,147,237)	1.9308	None
ZFP69B	SCN1B	-0.67352	48.14	-0.24	rgb(164,185,226)	1.943	None
ZFP69B	SCT	-0.93656	50.69	-0.69	rgb( 68,126,243)	1.994	None
ZFP69B	SDK2	0.27869	32	0	rgb(217,217,217)	1.6201	None
ZFP69B	SIM1	0.86679	50.54	0.541	rgb(223,114,115)	1.991	None
ZFP69B	SPP1	0.52061	43.45	0.447	rgb(222,132,132)	1.8492	2,2
ZFP69B	STMN3	0.90434	50.62	0.615	rgb(224, 99,101)	1.9926	None
ZFP69B	STRC	-0.43672	40.28	-0.28	rgb(157,180,228)	1.7858	None
ZFP69B	SYT2	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ZFP69B	TAC1	-0.55626	44.63	-0.63	rgb( 79,133,241)	1.8728	2,2
ZFP69B	TAF9B	0.71074	48.64	0.644	rgb(224, 94, 95)	1.953	None
ZFP69B	TDRD6	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
ZFP69B	THBS4	0.55886	45.09	0.092	rgb(218,199,200)	1.882	None
ZFP69B	TMEFF1	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ZFP69B	TMEM151B	0.82887	50.44	0.437	rgb(222,134,134)	1.989	None
ZFP69B	TMEM178B	0.97749	50.81	0.81	rgb(226, 62, 64)	1.9964	None
ZFP69B	TP73	-0.45093	40.03	-0.032	rgb(210,213,218)	1.7808	None
ZFP69B	TPGS1	0.31152	34	0	rgb(217,217,217)	1.6601	None
ZFP69B	TPST2	-0.45551	41.19	-0.19	rgb(175,192,224)	1.804	None
ZFP69B	TTC18	0.87278	50.55	0.554	rgb(223,111,112)	1.9912	2,2
ZFP69B	VGF	-0.50194	43.06	-0.062	rgb(203,209,219)	1.8414	None
ZFP69B	WNT9A	0.62561	47.19	0.193	rgb(219,180,181)	1.924	None
ZFP69B	ZRANB2-AS1	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
